,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
1413,Malik Beasley,SG,23,TOT,55,22.0,4.1,9.7,1.9,5.0,2.2,4.7,1.0,1.2,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2,36,2020
1414,Malik Beasley,SG,23,DEN,41,18.2,2.9,7.3,1.4,3.9,1.4,3.4,0.8,0.9,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9,36,2020
1415,Malik Beasley,SG,23,MIN,14,33.1,7.9,16.6,3.5,8.2,4.4,8.4,1.5,2.0,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9,20.7,36,2020
1416,Marco Belinelli,SG,33,SAS,57,15.5,2.2,5.5,1.2,3.1,1.0,2.4,0.8,1.0,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3,37,2020
1417,Jordan Bell,C,25,TOT,29,8.8,1.2,2.3,0.1,0.4,1.1,1.9,0.7,1.1,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2,38,2020
1418,Jordan Bell,C,25,MIN,27,8.7,1.2,2.2,0.1,0.3,1.1,1.9,0.6,1.1,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1,38,2020
1419,Jordan Bell,C,25,MEM,2,10.5,1.5,3.5,1.0,1.5,0.5,2.0,1.0,1.0,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0,5.0,38,2020
1420,DeAndre' Bembry,SG,25,ATL,43,21.3,2.4,5.3,0.3,1.5,2.1,3.8,0.6,1.1,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,39,2020
1421,Dragan Bender,PF-C,22,TOT,16,17.9,2.6,5.8,0.9,2.7,1.6,3.1,0.6,0.9,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7,40,2020
1422,Dragan Bender,C,22,MIL,7,13.0,1.4,3.0,0.6,1.3,0.9,1.7,0.3,0.4,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7,40,2020
1423,Dragan Bender,PF,22,GSW,9,21.7,3.4,7.9,1.2,3.8,2.2,4.1,0.9,1.2,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9,9.0,40,2020
1424,Dāvis Bertāns,PF,27,WAS,54,29.3,4.9,11.3,3.7,8.7,1.2,2.6,1.9,2.3,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4,41,2020
